pdq,Spdq,aic
"(2, 1, 0)","(0, 1, 1, 36)",1897.4884515714807
"(1, 1, 2)","(1, 1, 1, 36)",1897.508044850055
"(1, 1, 2)","(2, 1, 0, 36)",1897.51092415502
"(2, 2, 0)","(0, 1, 2, 36)",1897.7506364000667
"(2, 1, 1)","(0, 1, 2, 36)",1897.898124442548
"(2, 1, 2)","(1, 1, 0, 36)",1897.9311686757173
"(2, 1, 0)","(2, 1, 2, 36)",1898.1967590988902
"(2, 1, 1)","(1, 1, 2, 36)",1898.3071272724842
"(2, 1, 1)","(2, 1, 1, 36)",1898.3074246411086
"(1, 1, 1)","(0, 1, 1, 36)",1898.3372139516548
"(0, 1, 2)","(0, 1, 2, 36)",1898.3496540785188
"(2, 2, 0)","(1, 1, 2, 36)",1898.5055449695435
"(2, 2, 0)","(2, 1, 1, 36)",1898.5055546619824
"(0, 1, 2)","(2, 1, 1, 36)",1898.5057962626013
"(0, 1, 2)","(1, 1, 2, 36)",1898.5058703169188
"(2, 2, 0)","(0, 1, 1, 36)",1898.6831538889508
"(1, 1, 1)","(2, 1, 2, 36)",1899.0699374481824
"(2, 1, 1)","(0, 1, 1, 36)",1899.1169064079552
"(2, 1, 2)","(2, 1, 0, 36)",1899.2415298576589
"(2, 1, 2)","(1, 1, 1, 36)",1899.3048337696985
"(1, 1, 2)","(1, 1, 2, 36)",1899.5074526381466
"(1, 1, 2)","(2, 1, 1, 36)",1899.508250712872
"(0, 1, 2)","(0, 1, 1, 36)",1899.7443012219514
"(1, 1, 2)","(0, 1, 2, 36)",1899.9833534644374
"(2, 1, 1)","(2, 1, 2, 36)",1900.3070611791627
"(2, 2, 0)","(2, 1, 2, 36)",1900.5057854198408
"(0, 1, 2)","(2, 1, 2, 36)",1900.505841311074
"(2, 1, 2)","(0, 1, 2, 36)",1900.8558338353137
"(2, 1, 2)","(1, 1, 2, 36)",1901.3040684172056
"(2, 1, 2)","(2, 1, 1, 36)",1901.3358895814638
"(1, 1, 2)","(0, 1, 1, 36)",1901.3827603584486
"(1, 2, 0)","(1, 1, 0, 36)",1901.4504623234373
"(1, 1, 2)","(2, 1, 2, 36)",1901.5074857711913
"(1, 2, 0)","(1, 1, 1, 36)",1902.1126209591914
"(1, 2, 0)","(2, 1, 0, 36)",1902.1706136564012
"(1, 2, 0)","(0, 1, 2, 36)",1903.1475618079871
"(2, 1, 2)","(2, 1, 2, 36)",1903.3040870690563
"(2, 1, 2)","(0, 1, 1, 36)",1903.352271703033
"(1, 2, 0)","(0, 1, 1, 36)",1904.0137531689954
"(1, 2, 0)","(1, 1, 2, 36)",1904.1108036476223
"(0, 2, 0)","(2, 1, 0, 36)",1904.3003522258196
"(1, 0, 0)","(1, 1, 0, 36)",1905.5219700882926
"(1, 2, 0)","(2, 1, 2, 36)",1906.1119449108355
"(0, 2, 2)","(0, 1, 0, 36)",1906.7810925481845
"(1, 2, 1)","(0, 1, 0, 36)",1906.9601192309308
"(1, 2, 2)","(0, 1, 0, 36)",1908.599679358946
"(0, 2, 1)","(0, 1, 0, 36)",1908.791779844644
"(2, 2, 1)","(0, 1, 0, 36)",1908.8705322020794
"(2, 2, 2)","(0, 1, 0, 36)",1910.2978176117067
"(0, 2, 0)","(1, 1, 0, 36)",1911.4447122632923
"(0, 2, 0)","(0, 1, 2, 36)",1912.8009304664752
"(0, 2, 0)","(1, 1, 1, 36)",1912.9237685538526
"(2, 0, 0)","(1, 1, 0, 36)",1913.3293521927665
"(0, 2, 0)","(0, 1, 1, 36)",1913.3730116439424
"(1, 0, 1)","(1, 1, 0, 36)",1914.507507782229
"(0, 2, 0)","(1, 1, 2, 36)",1914.5375048997619
"(0, 2, 0)","(2, 1, 1, 36)",1914.9198294564885
"(2, 0, 0)","(1, 1, 1, 36)",1915.328150172154
"(2, 0, 0)","(2, 1, 0, 36)",1915.3281905277497
"(2, 0, 1)","(1, 1, 0, 36)",1915.9582423450188
"(1, 0, 0)","(1, 1, 1, 36)",1915.964235010904
"(1, 0, 0)","(2, 1, 0, 36)",1915.9644654099263
"(1, 0, 1)","(1, 1, 1, 36)",1916.5063769155463
"(1, 0, 1)","(2, 1, 0, 36)",1916.5064137290394
"(0, 2, 0)","(2, 1, 2, 36)",1916.53789067639
